timestamp,device_id,temperature_c,current_amps,vibration_magnitude_mss,days_to_failure,failure_mode
2024-01-01 00:00:00,motor_A,31.99,1.44,9.79,0.0,normal
2024-01-01 00:10:00,motor_A,30.72,1.54,9.87,0.0,normal
2024-01-01 00:20:00,motor_A,32.3,1.6,9.77,0.0,normal
2024-01-01 00:30:00,motor_A,34.05,1.6,9.76,0.0,normal
2024-01-01 00:40:00,motor_A,30.53,1.55,9.78,0.0,normal
2024-01-01 00:50:00,motor_A,30.53,1.66,9.75,0.0,normal
2024-01-01 01:00:00,motor_A,34.16,1.49,9.81,0.0,normal
2024-01-01 01:10:00,motor_A,32.53,1.59,9.88,0.0,normal
2024-01-01 01:20:00,motor_A,30.06,1.61,9.82,0.0,normal
2024-01-01 01:30:00,motor_A,32.09,1.65,9.79,0.0,normal
2024-01-01 01:40:00,motor_A,30.07,1.67,9.79,0.0,normal
2024-01-01 01:50:00,motor_A,30.07,1.49,9.72,0.0,normal
2024-01-01 02:00:00,motor_A,31.48,1.45,9.84,0.0,normal
2024-01-01 02:10:00,motor_A,27.17,1.73,9.8,0.0,normal
2024-01-01 02:20:00,motor_A,27.55,1.63,9.79,0.0,normal
2024-01-01 02:30:00,motor_A,29.88,1.53,9.96,0.0,normal
2024-01-01 02:40:00,motor_A,28.97,1.76,9.82,0.0,normal
2024-01-01 02:50:00,motor_A,31.63,1.61,9.76,0.0,normal
2024-01-01 03:00:00,motor_A,29.18,1.72,9.78,0.0,normal
2024-01-01 03:10:00,motor_A,28.18,1.61,9.86,0.0,normal
2024-01-01 03:20:00,motor_A,33.93,1.81,9.81,0.0,normal
2024-01-01 03:30:00,motor_A,30.55,1.78,9.73,0.0,normal
2024-01-01 03:40:00,motor_A,31.14,1.58,9.85,0.0,normal
2024-01-01 03:50:00,motor_A,28.15,1.7,9.77,0.0,normal
2024-01-01 04:00:00,motor_A,29.91,1.66,9.89,0.0,normal
2024-01-01 04:10:00,motor_A,31.22,1.74,9.85,0.0,normal
2024-01-01 04:20:00,motor_A,28.7,1.5,9.78,0.0,normal
2024-01-01 04:30:00,motor_A,31.75,1.67,9.86,0.0,normal
2024-01-01 04:40:00,motor_A,29.8,1.71,9.8,0.0,normal
2024-01-01 04:50:00,motor_A,30.42,1.42,9.84,0.0,normal
2024-01-01 05:00:00,motor_A,29.8,1.48,9.82,0.0,normal
2024-01-01 05:10:00,motor_A,34.7,1.4,9.76,0.0,normal
2024-01-01 05:20:00,motor_A,30.97,1.57,9.77,0.0,normal
2024-01-01 05:30:00,motor_A,28.88,1.67,9.85,0.0,normal
2024-01-01 05:40:00,motor_A,32.65,1.75,9.78,0.0,normal
2024-01-01 05:50:00,motor_A,28.56,1.61,9.78,0.0,normal
2024-01-01 06:00:00,motor_A,31.42,1.76,9.75,0.0,normal
2024-01-01 06:10:00,motor_A,27.08,1.46,9.82,0.0,normal
2024-01-01 06:20:00,motor_A,28.34,1.43,9.9,0.0,normal
2024-01-01 06:30:00,motor_A,31.39,1.59,9.75,0.0,normal
2024-01-01 06:40:00,motor_A,31.8,1.57,9.71,2.49,desgaste_rolamento
2024-01-01 06:50:00,motor_A,31.69,1.64,9.92,2.49,desgaste_rolamento
2024-01-01 07:00:00,motor_A,29.42,1.1,9.84,2.48,desgaste_rolamento
2024-01-01 07:10:00,motor_A,30.6,1.59,9.77,2.47,desgaste_rolamento
2024-01-01 07:20:00,motor_A,28.63,1.78,9.61,2.47,desgaste_rolamento
2024-01-01 07:30:00,motor_A,30.4,2.79,9.81,2.46,desgaste_rolamento
2024-01-01 07:40:00,motor_A,31.67,1.41,9.86,2.45,desgaste_rolamento
2024-01-01 07:50:00,motor_A,36.79,2.01,9.78,2.44,desgaste_rolamento
2024-01-01 08:00:00,motor_A,32.04,1.69,9.84,2.44,desgaste_rolamento
2024-01-01 08:10:00,motor_A,29.77,1.89,9.96,2.43,desgaste_rolamento
2024-01-01 08:20:00,motor_A,33.78,1.6,9.79,2.42,desgaste_rolamento
2024-01-01 08:30:00,motor_A,30.85,1.94,9.86,2.42,desgaste_rolamento
2024-01-01 08:40:00,motor_A,32.06,1.96,9.85,2.41,desgaste_rolamento
2024-01-01 08:50:00,motor_A,33.34,1.0,9.87,2.4,desgaste_rolamento
2024-01-01 09:00:00,motor_A,35.86,2.77,9.83,2.4,desgaste_rolamento
2024-01-01 09:10:00,motor_A,34.5,2.48,9.8,2.39,desgaste_rolamento
2024-01-01 09:20:00,motor_A,31.41,2.59,9.82,2.38,desgaste_rolamento
2024-01-01 09:30:00,motor_A,31.38,1.98,9.99,2.38,desgaste_rolamento
2024-01-01 09:40:00,motor_A,34.34,2.48,9.85,2.37,desgaste_rolamento
2024-01-01 09:50:00,motor_A,35.35,2.64,9.95,2.36,desgaste_rolamento
2024-01-01 10:00:00,motor_A,33.02,2.21,9.87,2.35,desgaste_rolamento
2024-01-01 10:10:00,motor_A,35.0,2.06,9.88,2.35,desgaste_rolamento
2024-01-01 10:20:00,motor_A,31.11,2.4,9.79,2.34,desgaste_rolamento
2024-01-01 10:30:00,motor_A,31.08,2.5,9.82,2.33,desgaste_rolamento
2024-01-01 10:40:00,motor_A,38.16,3.02,9.93,2.33,desgaste_rolamento
